date,year,quarter,month,state_code,state_name,vehicle_category,manufacturer,registrations
2022-01-01,2022,Q1,1,DL,Delhi,2W,Hero,9109
2022-01-01,2022,Q1,1,DL,Delhi,2W,Honda,10248
2022-01-01,2022,Q1,1,DL,Delhi,2W,Bajaj,6994
2022-01-01,2022,Q1,1,DL,Delhi,2W,TVS,5002
2022-01-01,2022,Q1,1,DL,Delhi,2W,Yamaha,2358
2022-01-01,2022,Q1,1,DL,Delhi,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,DL,Delhi,3W,Bajaj,2623
2022-01-01,2022,Q1,1,DL,Delhi,3W,TVS,1667
2022-01-01,2022,Q1,1,DL,Delhi,3W,Mahindra,1041
2022-01-01,2022,Q1,1,DL,Delhi,3W,Piaggio,756
2022-01-01,2022,Q1,1,DL,Delhi,3W,Force Motors,406
2022-01-01,2022,Q1,1,DL,Delhi,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,DL,Delhi,4W,Hyundai,3416
2022-01-01,2022,Q1,1,DL,Delhi,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,DL,Delhi,4W,Mahindra,1561
2022-01-01,2022,Q1,1,DL,Delhi,4W,Honda,1708
2022-01-01,2022,Q1,1,DL,Delhi,4W,Toyota,1431
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Hero,9109
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Honda,10248
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Bajaj,6994
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,TVS,5002
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Yamaha,2358
2022-01-01,2022,Q1,1,MH,Maharashtra,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Bajaj,2623
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,TVS,1667
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Mahindra,1041
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Piaggio,756
2022-01-01,2022,Q1,1,MH,Maharashtra,3W,Force Motors,406
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Hyundai,3416
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Mahindra,1561
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Honda,1708
2022-01-01,2022,Q1,1,MH,Maharashtra,4W,Toyota,1431
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Hero,9109
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Honda,10248
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Bajaj,6994
2022-01-01,2022,Q1,1,KA,Karnataka,2W,TVS,5002
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Yamaha,2358
2022-01-01,2022,Q1,1,KA,Karnataka,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Bajaj,2623
2022-01-01,2022,Q1,1,KA,Karnataka,3W,TVS,1667
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Mahindra,1041
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Piaggio,756
2022-01-01,2022,Q1,1,KA,Karnataka,3W,Force Motors,406
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Hyundai,3416
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Mahindra,1561
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Honda,1708
2022-01-01,2022,Q1,1,KA,Karnataka,4W,Toyota,1431
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,Hero,9109
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,Honda,10248
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,Bajaj,6994
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,TVS,5002
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,Yamaha,2358
2022-01-01,2022,Q1,1,TN,Tamil Nadu,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,TN,Tamil Nadu,3W,Bajaj,2623
2022-01-01,2022,Q1,1,TN,Tamil Nadu,3W,TVS,1667
2022-01-01,2022,Q1,1,TN,Tamil Nadu,3W,Mahindra,1041
2022-01-01,2022,Q1,1,TN,Tamil Nadu,3W,Piaggio,756
2022-01-01,2022,Q1,1,TN,Tamil Nadu,3W,Force Motors,406
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Hyundai,3416
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Mahindra,1561
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Honda,1708
2022-01-01,2022,Q1,1,TN,Tamil Nadu,4W,Toyota,1431
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,Hero,9109
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,Honda,10248
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,Bajaj,6994
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,TVS,5002
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,Yamaha,2358
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,3W,Bajaj,2623
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,3W,TVS,1667
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,3W,Mahindra,1041
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,3W,Piaggio,756
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,3W,Force Motors,406
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Hyundai,3416
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Mahindra,1561
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Honda,1708
2022-01-01,2022,Q1,1,UP,Uttar Pradesh,4W,Toyota,1431
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,Hero,9109
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,Honda,10248
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,Bajaj,6994
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,TVS,5002
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,Yamaha,2358
2022-01-01,2022,Q1,1,GJ,Gujarat,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,GJ,Gujarat,3W,Bajaj,2623
2022-01-01,2022,Q1,1,GJ,Gujarat,3W,TVS,1667
2022-01-01,2022,Q1,1,GJ,Gujarat,3W,Mahindra,1041
2022-01-01,2022,Q1,1,GJ,Gujarat,3W,Piaggio,756
2022-01-01,2022,Q1,1,GJ,Gujarat,3W,Force Motors,406
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Hyundai,3416
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Mahindra,1561
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Honda,1708
2022-01-01,2022,Q1,1,GJ,Gujarat,4W,Toyota,1431
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,Hero,9109
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,Honda,10248
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,Bajaj,6994
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,TVS,5002
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,Yamaha,2358
2022-01-01,2022,Q1,1,RJ,Rajasthan,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,RJ,Rajasthan,3W,Bajaj,2623
2022-01-01,2022,Q1,1,RJ,Rajasthan,3W,TVS,1667
2022-01-01,2022,Q1,1,RJ,Rajasthan,3W,Mahindra,1041
2022-01-01,2022,Q1,1,RJ,Rajasthan,3W,Piaggio,756
2022-01-01,2022,Q1,1,RJ,Rajasthan,3W,Force Motors,406
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Hyundai,3416
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Mahindra,1561
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Honda,1708
2022-01-01,2022,Q1,1,RJ,Rajasthan,4W,Toyota,1431
2022-01-01,2022,Q1,1,WB,West Bengal,2W,Hero,9109
2022-01-01,2022,Q1,1,WB,West Bengal,2W,Honda,10248
2022-01-01,2022,Q1,1,WB,West Bengal,2W,Bajaj,6994
2022-01-01,2022,Q1,1,WB,West Bengal,2W,TVS,5002
2022-01-01,2022,Q1,1,WB,West Bengal,2W,Yamaha,2358
2022-01-01,2022,Q1,1,WB,West Bengal,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,WB,West Bengal,3W,Bajaj,2623
2022-01-01,2022,Q1,1,WB,West Bengal,3W,TVS,1667
2022-01-01,2022,Q1,1,WB,West Bengal,3W,Mahindra,1041
2022-01-01,2022,Q1,1,WB,West Bengal,3W,Piaggio,756
2022-01-01,2022,Q1,1,WB,West Bengal,3W,Force Motors,406
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Hyundai,3416
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Mahindra,1561
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Honda,1708
2022-01-01,2022,Q1,1,WB,West Bengal,4W,Toyota,1431
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,Hero,9109
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,Honda,10248
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,Bajaj,6994
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,TVS,5002
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,Yamaha,2358
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,3W,Bajaj,2623
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,3W,TVS,1667
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,3W,Mahindra,1041
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,3W,Piaggio,756
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,3W,Force Motors,406
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Hyundai,3416
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Mahindra,1561
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Honda,1708
2022-01-01,2022,Q1,1,AP,Andhra Pradesh,4W,Toyota,1431
2022-01-01,2022,Q1,1,TS,Telangana,2W,Hero,9109
2022-01-01,2022,Q1,1,TS,Telangana,2W,Honda,10248
2022-01-01,2022,Q1,1,TS,Telangana,2W,Bajaj,6994
2022-01-01,2022,Q1,1,TS,Telangana,2W,TVS,5002
2022-01-01,2022,Q1,1,TS,Telangana,2W,Yamaha,2358
2022-01-01,2022,Q1,1,TS,Telangana,2W,Royal Enfield,1525
2022-01-01,2022,Q1,1,TS,Telangana,3W,Bajaj,2623
2022-01-01,2022,Q1,1,TS,Telangana,3W,TVS,1667
2022-01-01,2022,Q1,1,TS,Telangana,3W,Mahindra,1041
2022-01-01,2022,Q1,1,TS,Telangana,3W,Piaggio,756
2022-01-01,2022,Q1,1,TS,Telangana,3W,Force Motors,406
2022-01-01,2022,Q1,1,TS,Telangana,4W,Maruti Suzuki,3904
2022-01-01,2022,Q1,1,TS,Telangana,4W,Hyundai,3416
2022-01-01,2022,Q1,1,TS,Telangana,4W,Tata Motors,1342
2022-01-01,2022,Q1,1,TS,Telangana,4W,Mahindra,1561
2022-01-01,2022,Q1,1,TS,Telangana,4W,Honda,1708
2022-01-01,2022,Q1,1,TS,Telangana,4W,Toyota,1431
2022-02-01,2022,Q1,2,DL,Delhi,2W,Hero,9258
2022-02-01,2022,Q1,2,DL,Delhi,2W,Honda,5952
2022-02-01,2022,Q1,2,DL,Delhi,2W,Bajaj,3968
2022-02-01,2022,Q1,2,DL,Delhi,2W,TVS,3596
2022-02-01,2022,Q1,2,DL,Delhi,2W,Yamaha,2397
2022-02-01,2022,Q1,2,DL,Delhi,2W,Royal Enfield,1488
2022-02-01,2022,Q1,2,DL,Delhi,3W,Bajaj,1488
2022-02-01,2022,Q1,2,DL,Delhi,3W,TVS,1198
2022-02-01,2022,Q1,2,DL,Delhi,3W,Mahindra,661
2022-02-01,2022,Q1,2,DL,Delhi,3W,Piaggio,1066
2022-02-01,2022,Q1,2,DL,Delhi,3W,Force Motors,644
2022-02-01,2022,Q1,2,DL,Delhi,4W,Maruti Suzuki,5208
2022-02-01,2022,Q1,2,DL,Delhi,4W,Hyundai,2810
2022-02-01,2022,Q1,2,DL,Delhi,4W,Tata Motors,2418
2022-02-01,2022,Q1,2,DL,Delhi,4W,Mahindra,992
2022-02-01,2022,Q1,2,DL,Delhi,4W,Honda,992
2022-02-01,2022,Q1,2,DL,Delhi,4W,Toyota,1157
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,Hero,9258
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,Honda,5952
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,Bajaj,3968
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,TVS,3596
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,Yamaha,2397
2022-02-01,2022,Q1,2,MH,Maharashtra,2W,Royal Enfield,1488
2022-02-01,2022,Q1,2,MH,Maharashtra,3W,Bajaj,1488
2022-02-01,2022,Q1,2,MH,Maharashtra,3W,TVS,1198
2022-02-01,2022,Q1,2,MH,Maharashtra,3W,Mahindra,661
2022-02-01,2022,Q1,2,MH,Maharashtra,3W,Piaggio,1066
2022-02-01,2022,Q1,2,MH,Maharashtra,3W,Force Motors,644
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Maruti Suzuki,5208
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Hyundai,2810
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Tata Motors,2418
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Mahindra,992
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Honda,992
2022-02-01,2022,Q1,2,MH,Maharashtra,4W,Toyota,1157
2022-02-01,2022,Q1,2,KA,Karnataka,2W,Hero,9258
2022-02-01,2022,Q1,2,KA,Karnataka,2W,Honda,5952
2022-02-01,2022,Q1,2,KA,Karnataka,2W,Bajaj,3968
2022-02-01,2022,Q1,2,KA,Karnataka,2W,TVS,3596
2022-02-01,2022,Q1,2,KA,Karnataka,2W,Yamaha,2397
2022-02-01,2022,Q1,2,KA,Karnataka,2W,Royal Enfield,1488
2022-02-01,2022,Q1,2,KA,Karnataka,3W,Bajaj,1488
2022-02-01,2022,Q1,2,KA,Karnataka,3W,TVS,1198
2022-02-01,2022,Q1,2,KA,Karnataka,3W,Mahindra,661
2022-02-01,2022,Q1,2,KA,Karnataka,3W,Piaggio,1066
2022-02-01,2022,Q1,2,KA,Karnataka,3W,Force Motors,644
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Maruti Suzuki,5208
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Hyundai,2810
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Tata Motors,2418
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Mahindra,992
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Honda,992
2022-02-01,2022,Q1,2,KA,Karnataka,4W,Toyota,1157
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,Hero,9258
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,Honda,5952
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,Bajaj,3968
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,TVS,3596
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,Yamaha,2397
2022-02-01,2022,Q1,2,TN,Tamil Nadu,2W,Royal Enfield,1488
2022-02-01,2022,Q1,2,TN,Tamil Nadu,3W,Bajaj,1488
2022-02-01,2022,Q1,2,TN,Tamil Nadu,3W,TVS,1198
2022-02-01,2022,Q1,2,TN,Tamil Nadu,3W,Mahindra,661
2022-02-01,2022,Q1,2,TN,Tamil Nadu,3W,Piaggio,1066
2022-02-01,2022,Q1,2,TN,Tamil Nadu,3W,Force Motors,644
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Maruti Suzuki,5208
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Hyundai,2810
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Tata Motors,2418
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Mahindra,992
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Honda,992
2022-02-01,2022,Q1,2,TN,Tamil Nadu,4W,Toyota,1157
2022-02-01,2022,Q1,2,UP,Uttar Pradesh,2W,Hero,9258
2022-02-01,2022,Q1,2,UP,Uttar Pradesh,2W,Honda,5952
2022-02-01,2022,Q1,2,UP,Uttar Pradesh,2W,Bajaj,3968
